Percent_less_10000,median_income,mean_income,Zip_Code
6.0,103112,169181,60601
1.0,191528,267451,60602
11.8,146250,257300,60603
14.4,91750,165259,60604
4.1,111438,157484,60605
3.0,140558,201606,60606
10.5,102726,136475,60607
8.4,50133,68601,60608
9.8,37353,52209,60609
6.9,92130,148946,60610
8.8,106906,174238,60611
17.3,43545,69562,60612
5.0,84318,121260,60613
6.1,117138,183890,60614
15.8,45077,73926,60615
13.7,52162,79276,60616
10.9,41125,56362,60617
3.7,78704,114178,60618
16.6,35629,50819,60619
13.8,36767,49860,60620
24.6,22158,34586,60621
5.9,101161,136961,60622
11.1,32460,44564,60623
23.1,23429,38311,60624
5.2,68770,94477,60625
12.7,42747,59984,60626
12.4,41169,56956,60628
5.4,43506,59799,60629
4.5,73212,92124,60630
5.3,93989,119010,60631
4.4,44924,60088,60632
10.1,51538,62548,60633
4.8,70083,85959,60634
13.8,26724,41196,60636
4.3,68089,83809,60638
6.7,46107,64716,60639
10.5,57221,82729,60640
4.5,63545,86112,60641
3.3,112241,135431,60642
8.1,65631,92002,60643
19.7,26900,42925,60644
8.2,57572,82065,60645
5.5,95593,126843,60646
5.3,78413,109731,60647
20.7,31921,51506,60649
11.7,38955,53646,60651
5.6,70702,79416,60652
19.6,31093,59337,60653
5.6,122492,178523,60654
3.5,102813,116132,60655
3.7,64440,83902,60656
4.4,95173,143290,60657
5.8,52239,72497,60659
8.2,50966,75345,60660
7.3,120000,149605,60661
5.0,68808,86513,60706
5.0,61718,82268,60707
20.3,32329,48231,60827
