Zip_Code,number
60603,105.0
60660,45.0
60605,130.0
60601,383.0
60606,75.0
60602,394.0
60640,260.0
60610,79.0
60661,45.0
60626,75.0
60642,43.0
60611,213.0
60657,295.0
60604,124.0
60620,9.0
60613,198.0
60622,109.0
60647,110.0
60630,31.0
60659,27.0
60615,108.0
60643,71.0
60634,17.0
60625,85.0
60612,11.0
60631,34.0
60646,40.0
60614,171.0
60618,122.0
60641,24.0
60655,22.0
60654,51.0
60637,30.0
60645,38.0
60617,7.0
60609,13.0
60608,16.0
60707,10.0
60653,8.0
60629,5.0
60607,42.0
60624,2.0
60619,8.0
60616,21.0
60636,1.0
60651,5.0
60628,7.0
60623,6.0
60638,6.0
60649,6.0
60644,7.0
60639,5.0
60652,2.0
60632,3.0
60621,1.0
60656,2.0
60706,1.0
60680,1.0
